DD_TABLE_ALIAS  DD_DVAR_NAME    DD_ATTR_OPTS    
ADC_LANGUAGE    	LANGUAGE_ID     	K	
ADE_EXECAP      	FIRM_ID         	O	
ADE_EXECAR      	FIRM_ID         	O	
ADE_EXECCOST    	FIRM_ID         	O	
ADE_EXECCTOT    	FIRM_ID         	O	
ADE_EXECGEN     	FIRM_ID         	O	
ADE_EXECIV      	FIRM_ID         	O	
ADE_EXECPO      	FIRM_ID         	O	
ADE_EXECSALE    	FIRM_ID         	O	
ADE_EXECSTOT    	FIRM_ID         	O	
ADE_EXECWIP     	FIRM_ID         	O	
ADM_AUDITCONTROL	LSTUPD_DATE     	C	
ADM_AUDITCONTROL	LSTUPD_TIME     	C	
ADM_AUDITCONTROL	LSTUPD_TIME     	L	
ADM_AUDITCONTROL	LSTUSE_DATE     	C	
ADM_AUDITCONTROL	LSTUSE_TIME     	C	
ADM_AUDITCONTROL	LSTUSE_TIME     	L	
ADM_EXAMPLE     	DOC_PATH        	N	
ADM_EXAMPLE     	EMAIL_ADDRESS   	N	
ADM_EXAMPLE     	USER_ID         	K	
ADM_EXAMPLE     	USER_ID         	V	
ADM_FIRMS       	COMPANY_ID      	K	
ADM_FIRMS       	FIRM_ID         	K	
ADM_FIRMS       	HELP_FLAG       	W	
ADM_FIRMS       	INTERFACE       	O	
ADM_MODULES     	AON_VERSION     	W	
ADM_MODULES     	DATA_PATH       	G	
ADM_MODULES     	DATA_PATH       	I	
ADM_MODULES     	DATA_PATH       	L	
ADM_MODULES     	DATA_PATH       	O	
ADM_MODULES     	DATA_PATH       	P	
ADM_MODULES     	DATA_PATH       	R	
ADM_MODULES     	DATA_PATH       	W	
ADM_MODULES     	INTERFACE       	O	
ADM_MODULES     	INTERFACE       	W	
ADM_MODULES     	PROGRAM_PATH    	G	
ADM_MODULES     	PROGRAM_PATH    	I	
ADM_MODULES     	PROGRAM_PATH    	L	
ADM_MODULES     	PROGRAM_PATH    	O	
ADM_MODULES     	PROGRAM_PATH    	P	
ADM_MODULES     	PROGRAM_PATH    	R	
ADM_MODULES     	PROGRAM_PATH    	W	
ADM_PROCBATCHES 	FIRM_ID         	O	
ADM_PROCBATCHES 	PROCESS_ID      	O	
ADM_PROCDETAIL  	DD_TABLE_ALIAS  	V	
ADM_PROCDETAIL  	PROCESS_ID      	O	
ADM_PROCDETAIL  	SEQUENCE_NO     	O	
ADM_PROCMASTER  	ALLOW_BATCH     	O	
ADM_PROCTABLES  	DD_TABLE_ALIAS  	V	
ADM_PROCTABLES  	PROCESS_ID      	O	
ADM_PROCTABLES  	SEQUENCE_NO     	O	
ADM_ROLEALIAS   	DD_TABLE_ALIAS  	V	
ADM_ROLEALIAS   	SEC_ROLE_ID     	G	
ADM_ROLEALIAS   	SEC_ROLE_ID     	W	
ADM_ROLEALIASCOL	DD_TABLE_ALIAS  	V	
ADM_SECPROCS    	DD_TABLE_ALIAS  	V	
ADM_SECPROCS    	SEC_ROLE_ID     	G	
ADM_SECPROCS    	SEC_ROLE_ID     	W	
ADM_USER        	PASSWORD        	O	
ADM_USER        	PASSWORD_ACTIVE 	O	
ADM_USER        	SECURITY_LEVEL  	O	
ADM_USER        	USER_ID         	K	
ADM_USERFIRM    	FIRM_ID         	O	
ADM_USERROLES   	SEC_ROLE_ID     	V	
ADM_USERROLES   	USER_ID         	G	
ADR_LAYOUTS     	DD_TABLE_ALIAS  	1	
ADR_LAYOUTS     	DD_TABLE_ALIAS  	2	
ADR_PROCESSES   	PROCESS_ID      	1	
ADR_PROCESSES   	PROCESS_ID      	2	
ADS_CALENDAR    	ABBR_NAME       	C	
ADS_CALENDAR    	ACCT_LENGTH     	O	
ADS_CALENDAR    	ACCT_OUTPUT     	O	
ADS_CALENDAR    	FIRM_ID         	O	
ADS_CALENDAR    	GL              	O	
ADS_CALENDAR    	GL_YR_CLOSED    	C	
ADS_CALENDAR    	LOCKED_DATE     	C	
ADS_CALENDAR    	MAX_ACCT_LEN    	O	
ADS_CALENDAR    	PERIOD_NAME     	C	
ADS_CALENDAR    	PER_ENDING      	C	
ADS_CALENDAR    	SEQUENCE_00     	O	
ADS_CALENDAR    	TOTAL_PERS      	C	
ADS_DOCUMENTS   	DD_ATTR_SLEV    	C	
ADS_DOCUMENTS   	DOC_DATE        	C	
ADS_DOCUMENTS   	DOC_TIME        	C	
ADS_DOCUMENTS   	USER_ID         	C	
ADS_DOC_GROUP   	DOC_ARCHIVE     	G	
ADS_DOC_GROUP   	DOC_ARCHIVE     	I	
ADS_DOC_GROUP   	DOC_ARCHIVE     	L	
ADS_DOC_GROUP   	DOC_GROUP       	K	
ADS_DOC_GROUP   	DOC_PATH        	G	
ADS_DOC_GROUP   	DOC_PATH        	I	
ADS_DOC_GROUP   	DOC_PATH        	L	
ADS_DOC_GROUP   	DOC_TYPE        	G	
ADS_DOC_GROUP   	DOC_TYPE        	I	
ADS_DOC_GROUP   	DOC_TYPE        	L	
ADS_GENERAL     	RECORD_ID_G     	O	
ADS_MESSAGES    	ASC_COMP_ID     	D	
ADS_MESSAGES    	ASC_PROD_ID     	D	
ADS_MESSAGES    	MSG_CODES       	P	
ADS_MESSAGES    	MSG_DEFAULT_BUT 	P	
ADS_MESSAGES    	MSG_DISPLAY     	P	
ADS_MESSAGES    	MSG_TEXT        	X	
ADS_SELOPTS     	DD_TABLE_ALIAS  	O	
ADS_SELOPTS     	SELECTION_DATA  	O	
ADS_SELOPTS     	SELECTION_OPTS  	O	
ADS_SEQUENCES   	FIRM_ID         	O	
ADS_SEQUENCES   	SEQ_LAST_USED   	E	
ADS_SEQUENCES   	SEQ_MASK        	E	
ADS_SEQUENCES   	SEQ_NO_INCREMENT	E	
ADS_SEQUENCES   	SEQ_PREFIX      	E	
ADS_SEQUENCES   	SEQ_QUERY_NEW   	E	
ADS_SEQUENCES   	SEQ_USED_DATE   	C	
ADS_SEQUENCES   	SEQ_USED_DATE   	E	
ADS_SYSTEM      		O	
ADS_TERMINAL    	FIRM_ID         	O	
ADS_TERMINAL    	RECORD_ID_T     	O	
ADS_USERLOG     	COMPANY_ID      	C	
ADS_USERLOG     	TASK_DESC       	C	
ADS_USERLOG     	TASK_ID         	C	
ADS_USERLOG     	TRANS_DATE_END  	C	
ADS_USERLOG     	TRANS_DATE_START	C	
ADS_USERLOG     	TRANS_TIME_END  	C	
ADS_USERLOG     	TRANS_TIME_START	C	
ADS_USERLOG     	USER_ID         	C	
ADS_USERLOG_PRG 	COMPANY_ID      	C	
ADS_USERLOG_PRG 	TASK_DESC       	C	
ADS_USERLOG_PRG 	TASK_ID         	C	
ADS_USERLOG_PRG 	TRANS_DATE      	1	
ADS_USERLOG_PRG 	TRANS_DATE_END  	C	
ADS_USERLOG_PRG 	TRANS_DATE_START	C	
ADS_USERLOG_PRG 	TRANS_TIME_END  	C	
ADS_USERLOG_PRG 	TRANS_TIME_START	C	
ADS_USERLOG_PRG 	USER_ID         	3	
APC_DISTRIBUTION	DIST_CODE       	K	
APC_DISTRIBUTION	FIRM_ID         	O	
APC_DISTRIBUTION	GL_PURC_ACCT    	O	
APC_DISTRIBUTION	GL_PURC_ACCT    	W	
APC_DISTRIBUTION	RECORD_ID_B     	O	
APC_PAYMENTGROUP	FIRM_ID         	O	
APC_PAYMENTGROUP	PAYMENT_GRP     	K	
APC_PAYMENTGROUP	RECORD_ID_D     	O	
APC_TERMSCODE   	FIRM_ID         	O	
APC_TERMSCODE   	RECORD_ID_C     	O	
APC_TERMSCODE   	TERMS_CODE      	K	
APC_TYPECODE    	AP_TYPE         	K	
APC_TYPECODE    	DIST_CODE       	O	
APC_TYPECODE    	FIRM_ID         	O	
APC_TYPECODE    	RECORD_ID_A     	O	
APE_CHECKS      	FIRM_ID         	O	
APE_INVOICEDET  	AP_INV_NO       	G	
APE_INVOICEDET  	AP_TYPE         	G	
APE_INVOICEDET  	FIRM_ID         	O	
APE_INVOICEDET  	GL_ACCOUNT      	V	
APE_INVOICEDET  	MISCELLANEA     	G	
APE_INVOICEDET  	SEQUENCE_NUM    	G	
APE_INVOICEDET  	VENDOR_ID       	G	
APE_INVOICEHDR  	AP_TYPE         	W	
APE_INVOICEHDR  	FIRM_ID         	O	
APE_INVOICEHDR  	INVOICE_TYPE    	O	
APE_INVOICEHDR  	RETENTION       	W	
APE_INVOICEHDR  	SEQUENCE_00     	O	
APE_MANCHECKDET 	AP_DIST_CODE    	V	
APE_MANCHECKDET 	AP_TYPE         	O	
APE_MANCHECKDET 	CHECK_NO        	O	
APE_MANCHECKDET 	FIRM_ID         	O	
APE_MANCHECKDET 	SEQUENCE_00     	O	
APE_MANCHECKDET 	VENDOR_ID       	O	
APE_MANCHECKDIST	AP_INV_NO       	O	
APE_MANCHECKDIST	AP_TYPE         	O	
APE_MANCHECKDIST	CHECK_NO        	O	
APE_MANCHECKDIST	FIRM_ID         	O	
APE_MANCHECKDIST	GL_ACCOUNT      	V	
APE_MANCHECKDIST	VENDOR_ID       	O	
APE_MANCHECKHDR 	AP_TYPE         	D	
APE_MANCHECKHDR 	FIRM_ID         	O	
APE_MANCHECKHDR 	TEMPVENDNAME    	O	
APE_MANCHECKHDR 	VENDOR_NAME     	O	
APE_OPENCHECKS  	VENDOR_NAME     	O	
APE_PAYMENTS    	AP_INV_NO       	E	
APE_PAYMENTS    	DISCOUNT_AMT    	E	
APE_PAYMENTS    	INVOICE_AMT     	E	
APE_PAYMENTS    	PAYMENT_AMT     	E	
APE_PAYMENTS    	PAYMENT_GRP     	E	
APE_PAYMENTS    	RETENTION       	E	
APE_PAYMENTS    	VENDOR_ID       	E	
APE_RECURRINGDET	FIRM_ID         	O	
APE_RECURRINGHDR	FIRM_ID         	O	
APE_RECURRINGHDR	INVOICE_TYPE    	O	
