DD_TABLE_ALIAS  DD_KEY_NUMBER   DD_SEGMENT_SEQ  DD_SEGMENT_COL  DD_SEGMENT_SORT DD_SEGMENT_POS  DD_SEGMENT_OFF  DD_SEGMENT_LEN  
ADC_LANGUAGE    	00	01	LANGUAGE_ID     					
ADC_LANGUAGE    	01	01	ACTIVE          					
ADC_LANGUAGE    	01	02	LANGUAGE_ID     					
ADE_EXECAP      	00	01	FIRM_ID         		0	0	0	
ADE_EXECAP      	00	02	FULL_YEAR       		0	0	0	
ADE_EXECAP      	00	03	MONTH           		0	0	0	
ADE_EXECAR      	00	01	FIRM_ID         		0	0	0	
ADE_EXECAR      	00	02	FULL_YEAR       		0	0	0	
ADE_EXECAR      	00	03	MONTH           		0	0	0	
ADE_EXECCOST    	00	01	FIRM_ID         		0	0	0	
ADE_EXECCOST    	00	02	FULL_YEAR       		0	0	0	
ADE_EXECCOST    	00	03	MONTH           		0	0	0	
ADE_EXECCTOT    	00	01	FIRM_ID         		0	0	0	
ADE_EXECCTOT    	00	02	FULL_YEAR       		0	0	0	
ADE_EXECCTOT    	00	03	MONTH           		0	0	0	
ADE_EXECGEN     	00	01	FIRM_ID         		0	0	0	
ADE_EXECIV      	00	01	FIRM_ID         		0	0	0	
ADE_EXECIV      	00	02	FULL_YEAR       		0	0	0	
ADE_EXECIV      	00	03	MONTH           		0	0	0	
ADE_EXECPO      	00	01	FIRM_ID         		0	0	0	
ADE_EXECPO      	00	02	FULL_YEAR       		0	0	0	
ADE_EXECPO      	00	03	MONTH           		0	0	0	
ADE_EXECSALE    	00	01	FIRM_ID         		0	0	0	
ADE_EXECSALE    	00	02	FULL_YEAR       		0	0	0	
ADE_EXECSALE    	00	03	MONTH           		0	0	0	
ADE_EXECSTOT    	00	01	FIRM_ID         		0	0	0	
ADE_EXECSTOT    	00	02	FULL_YEAR       		0	0	0	
ADE_EXECSTOT    	00	03	MONTH           		0	0	0	
ADE_EXECWIP     	00	01	FIRM_ID         		0	0	0	
ADE_EXECWIP     	00	02	FULL_YEAR       		0	0	0	
ADE_EXECWIP     	00	03	MONTH           		0	0	0	
ADM_AUDITCONTROL	00	01	FIRM_ID         					
ADM_AUDITCONTROL	00	02	PROCESS_ID      					
ADM_AUDITCONTROL	00	03	SEQUENCE_NO     					
ADM_AUDITCONTROL	01	01	DD_TABLE_ALIAS  					
ADM_AUDITCONTROL	01	02	FIRM_ID         					
ADM_AUDITCONTROL	01	03	PROCESS_ID      					
ADM_AUDITCONTROL	01	04	SEQUENCE_NO     					
ADM_AUDITCONTROL	02	01	PROCESS_PROGRAM 					
ADM_AUDITCONTROL	02	02	FIRM_ID         					
ADM_AUDITCONTROL	02	03	PROCESS_ID      					
ADM_AUDITCONTROL	02	04	SEQUENCE_NO     					
ADM_EXAMPLE     	00	01	USER_ID         					
ADM_EXECSUMMARY 	00	01	FIRM_ID         					
ADM_EXECSUMMARY 	00	02	SUMMARY_ID      					
ADM_FIRMS       	00	01	COMPANY_ID      		0	0	0	
ADM_MODULES     	00	01	SYSTEM_ID       		0	0	0	
ADM_PROCBATCHES 	00	01	BATCH_NO        					
ADM_PROCBATCHES 	01	01	PROCESS_ID      					
ADM_PROCBATCHES 	01	02	FIRM_ID         					
ADM_PROCBATCHES 	01	03	BATCH_NO        					
ADM_PROCDETAIL  	00	01	PROCESS_ID      					
ADM_PROCDETAIL  	00	02	SEQUENCE_NO     					
ADM_PROCDETAIL  	01	01	DD_TABLE_ALIAS  					
ADM_PROCDETAIL  	01	02	PROCESS_ID      					
ADM_PROCDETAIL  	01	03	SEQUENCE_NO     					
ADM_PROCDETAIL  	02	01	PROGRAM_NAME    					
ADM_PROCDETAIL  	02	02	PROCESS_ID      					
ADM_PROCDETAIL  	02	03	SEQUENCE_NO     					
ADM_PROCMASTER  	00	01	PROCESS_ID      					
ADM_PROCTABLES  	00	01	PROCESS_ID      					
ADM_PROCTABLES  	00	02	SEQUENCE_NO     					
ADM_PROCTABLES  	01	01	DD_TABLE_ALIAS  					
ADM_PROCTABLES  	01	02	PROCESS_ID      					
ADM_PROCTABLES  	01	03	SEQUENCE_NO     					
ADM_PROCTABLES  	02	01	DD_AON_NAME     					
ADM_PROCTABLES  	02	02	PROCESS_ID      					
ADM_PROCTABLES  	02	03	SEQUENCE_NO     					
ADM_REPORT      	00	01	REPORT_NAME     		0	0	0	
ADM_ROLE        	00	01	SEC_ROLE_ID     					
ADM_ROLEALIAS   	00	01	SEC_ROLE_ID     					
ADM_ROLEALIAS   	00	02	DD_TABLE_ALIAS  					
ADM_ROLEALIAS   	01	01	DD_TABLE_ALIAS  					
ADM_ROLEALIAS   	01	02	SEC_ROLE_ID     					
ADM_ROLEALIASCOL	00	01	SEC_ROLE_ID     					
ADM_ROLEALIASCOL	00	02	DD_TABLE_ALIAS  					
