DD_TABLE_ALIAS  DD_SEQUENCE     DD_AUX_ALIAS    DD_ATTR_DCOL    DD_ATTR_TIND    
ARM_CUSTMAST    	001	ARM_CUSTDET     	CUSTOMER_TYPE   	24	
ARM_CUSTMAST    	002	ARM_CUSTDET     	SLSPSN_CODE     	25	
ARM_CUSTMAST    	003	ARM_CUSTDET     	AR_TERMS_CODE   	26	
ARM_CUSTMAST    	004	ARM_CUSTDET     	TAX_CODE        	27	
ARM_CUSTMAST    	005	ARM_CUSTDET     	FRT_TERMS       	28	
ARM_CUSTMAST    	006	ARM_CUSTDET     	TERRITORY       	29	
ARM_CUSTMAST    	007	ARM_CUSTDET     	AR_DIST_CODE    	30	
ARM_CUSTMAST    	008	ARM_CUSTDET     	MESSAGE_CODE    	31	
ARM_CUSTMAST    	009	ARM_CUSTDET     	PRICING_CODE    	32	
ARM_CUSTMAST    	010	ARM_CUSTDET     	DISC_CODE       	33	
ARM_CUSTMAST    	011	ARM_CUSTDET     	LABEL_CODE      	34	
ARM_CUSTMAST    	012	ARM_CUSTDET     	FINANCE_CHG     	35	
ARM_CUSTMAST    	013	ARM_CUSTDET     	STATEMENTS      	36	
ARM_CUSTMAST    	014	ARM_CUSTDET     	CYCLE_CODE      	37	
ARM_CUSTMAST    	015	ARM_CUSTDET     	SA_FLAG         	38	
ARM_CUSTMAST    	016	ARM_CUSTDET     	CREDIT_LIMIT    	39	
ARM_CUSTMAST    	017	ARM_CUSTDET     	CRED_HOLD       	40	
ARM_CUSTMAST    	018	ARM_CUSTDET     	INV_HIST_FLG    	41	
ARM_CUSTMAST    	019	ARM_CUSTDET     	AGING_FUTURE    	42	
ARM_CUSTMAST    	020	ARM_CUSTDET     	AGING_CUR       	43	
ARM_CUSTMAST    	021	ARM_CUSTDET     	AGING_30        	44	
ARM_CUSTMAST    	022	ARM_CUSTDET     	AGING_60        	45	
ARM_CUSTMAST    	023	ARM_CUSTDET     	AGING_90        	46	
ARM_CUSTMAST    	024	ARM_CUSTDET     	AGING_120       	47	
ARM_CUSTMAST    	025	ARM_CUSTPMTS    	AVG_DAYS        	49	
ARM_CUSTMAST    	026	ARM_CUSTPMTS    	LSTINV_DATE     	50	
ARM_CUSTMAST    	027	ARM_CUSTPMTS    	LSTPAY_DATE     	51	
ARM_CUSTMAST    	028	ARM_CUSTPMTS    	MTD_SALES       	53	
