DD_TABLE_ALIAS  DD_SEQUENCE     DD_DATA_NAME    DD_CTRL_NAME    DD_ATTR_LABL    DD_ATTR_LABS    DD_ATTR_CALC    DD_ATTR_CTLX    DD_ATTR_CTLY    DD_ATTR_CTLW    DD_ATTR_DRLE    DD_ATTR_GHDR    DD_ATTR_SLEV    DD_ATTR_TABG    DD_ATTR_TIND    
APE_INVOICEHDR  	001	NET_INV_AMT     	DISP_DISTRIB_BAL	Dist Balance	Distribution Balance			+1	56					22	
APE_INVOICEHDR  	002	NET_INV_AMT     	DISP_ADJAMT     	Adjustment Amt	Adjustment Amt				56					20	
APE_MANCHECKHDR 	001	BALANCE_AMT     	DISP_TOT_INV    	Total Invoices			+45	-4	56					11	
APE_MANCHECKHDR 	002	BALANCE_AMT     	DISP_TOT_DISC   	Total Discounts					56					12	
APE_MANCHECKHDR 	003	BALANCE_AMT     	DISP_TOT_RETEN  	Total Retention					56					13	
APE_MANCHECKHDR 	004	BALANCE_AMT     	DISP_TOT_CHECK  	Total Check					56					14	
APE_MANCHECKHDR 	005	DISPLAY_TEXT_MED	DISP_ADDR1      	Address					240					7	
APE_MANCHECKHDR 	006	DISPLAY_TEXT_MED	DISP_ADDR2      						240					8	
APE_MANCHECKHDR 	007	DISPLAY_TEXT_MED	DISP_CTSTZIP    						240					9	
APE_RECURRINGHDR	001	ADDR_LINE_1     	DISP_ADDR_LINE1				530	-1						2	
APE_RECURRINGHDR	002	ADDR_LINE_1     	DISP_ADDR_LINE2											3	
APE_RECURRINGHDR	003	ADDR_LINE_1     	DISP_ADDR_LINE3											4	
APE_RECURRINGHDR	004	ADDR_LINE_1     	DISP_ADDR_LINE4											5	
APE_RECURRINGHDR	005	INVOICE_AMT     	DISP_ADJ_AMT	Adjustment Amount	Adjustment Amount									20	
ARE_CASHHDR     	001	APPLY_AMT       	DISP_APPLIED    	Applied	Applied				56					14	
ARE_CASHHDR     	002	BALANCE_AMT     	DISP_BAL        	Remaining to Apply	Remain				56					13	
ARE_CASHHDR     	003	BALANCE_AMT     	DISP_CUST_BAL   	Customer Balance	Cust Bal		+34	-5	56					11	
ARE_INVHDR      	001	DISPLAY_TEXT_MED	CUST_ADDR1      	Address	Addr				240					7	
ARE_INVHDR      	002	DISPLAY_TEXT_MED	CUST_ADDR2      						240					8	
ARE_INVHDR      	003	DISPLAY_TEXT_MED	CUST_CTST       						240					11	
ARE_INVHDR      	004	DISPLAY_ZIP     	CUST_ZIP        				+25	-1	72					12	
ARE_INVHDR      	005	UNITS           	TOT_QTY         	Total Quantity	Tot Qty		+35	-2	56					4	
ARE_INVHDR      	006	EXT_PRICE       	TOT_AMT         	Total Amount					56					5	
ARE_INVHDR      	007	DISPLAY_TEXT_MED	CUST_ADDR3      						240					9	
ARE_INVHDR      	008	DISPLAY_TEXT_MED	CUST_ADDR4      						240					10	
ARM_CUSTMAST    	001	YTD_SALES       	DSP_MTD_PROFIT  	Gross Profit		[ARM_CUSTPMTS.MTD_SALES]-[ARM_CUSTPMTS.MTD_COST]			64					55	
ARM_CUSTMAST    	002	PCT_VALUE       	DSP_MTD_PROF_PCT	Gross Profit %		(([ARM_CUSTPMTS.MTD_SALES]-[ARM_CUSTPMTS.MTD_COST])/[ARM_CUSTPMTS.MTD_SALES])*100			64					56	
ARM_CUSTMAST    	003	YTD_SALES       	DSP_YTD_PROFIT  			[ARM_CUSTPMTS.YTD_SALES]-[ARM_CUSTPMTS.YTD_COST]			64					62	
ARM_CUSTMAST    	004	PCT_VALUE       	DSP_YTD_PROF_PCT			(([ARM_CUSTPMTS.YTD_SALES]-[ARM_CUSTPMTS.YTD_COST])/[ARM_CUSTPMTS.YTD_SALES])*100			64					63	
ARM_CUSTMAST    	005	YTD_SALES       	DSP_PRI_PROFIT  			[ARM_CUSTPMTS.PYR_SALES]-[ARM_CUSTPMTS.PRI_YTD_COST]			64					69	
ARM_CUSTMAST    	006	PCT_VALUE       	DSP_PRI_PROF_PCT			(([ARM_CUSTPMTS.PYR_SALES]-[ARM_CUSTPMTS.PRI_YTD_COST])/[ARM_CUSTPMTS.PYR_SALES])*100          			64					70	
ARM_CUSTMAST    	007	YTD_SALES       	DSP_NXT_PROFIT  			[ARM_CUSTPMTS.NMTD_SALES]-[ARM_CUSTPMTS.NXT_MTD_COST]			64					76	
ARM_CUSTMAST    	008	PCT_VALUE       	DSP_NXT_PROF_PCT			(([ARM_CUSTPMTS.NMTD_SALES]-[ARM_CUSTPMTS.NXT_MTD_COST])/[ARM_CUSTPMTS.NMTD_SALES])*100     			64					77	
ARM_CUSTMAST    	009	YTD_SALES       	DSP_BALANCE     	Balance		[ARM_CUSTDET.AGING_FUTURE]+[ARM_CUSTDET.AGING_CUR]+[ARM_CUSTDET.AGING_30]+[ARM_CUSTDET.AGING_60]+[ARM_CUSTDET.AGING_90]+[ARM_CUSTDET.AGING_120]			64					48	
CRM_CUSTMAST    	001	YTD_SALES       	DSP_MTD_PROFIT  	Gross Profit		[CRM_CUSTPMTS.MTD_SALES]-[CRM_CUSTPMTS.MTD_COST]   			56					55	
CRM_CUSTMAST    	002	PCT_VALUE       	DSP_MTD_PROF_PCT	Gross Profit %		(([CRM_CUSTPMTS.MTD_SALES]-[CRM_CUSTPMTS.MTD_COST])/[CRM_CUSTPMTS.MTD_SALES])*100   			56					56	
CRM_CUSTMAST    	003	YTD_SALES       	DSP_YTD_PROFIT  			[CRM_CUSTPMTS.YTD_SALES]-[CRM_CUSTPMTS.YTD_COST]  			56					62	
CRM_CUSTMAST    	004	PCT_VALUE       	DSP_YTD_PROF_PCT			(([CRM_CUSTPMTS.YTD_SALES]-[CRM_CUSTPMTS.YTD_COST])/[CRM_CUSTPMTS.YTD_SALES])*100   			56					63	
CRM_CUSTMAST    	005	YTD_SALES       	DSP_PRI_PROFIT  			[CRM_CUSTPMTS.PYR_SALES]-[CRM_CUSTPMTS.PRI_YTD_COST]  			56					69	
CRM_CUSTMAST    	006	PCT_VALUE       	DSP_PRI_PROF_PCT			(([CRM_CUSTPMTS.PYR_SALES]-[CRM_CUSTPMTS.PRI_YTD_COST])/[CRM_CUSTPMTS.PYR_SALES])*100   			56					70	
CRM_CUSTMAST    	007	YTD_SALES       	DSP_NXT_PROFIT  			[CRM_CUSTPMTS.NMTD_SALES]-[CRM_CUSTPMTS.NXT_MTD_COST]  			56					76	
CRM_CUSTMAST    	008	PCT_VALUE       	DSP_NXT_PROF_PCT			(([CRM_CUSTPMTS.NMTD_SALES]-[CRM_CUSTPMTS.NXT_MTD_COST])/[CRM_CUSTPMTS.NMTD_SALES])*100   			56					77	
CRM_CUSTMAST    	009	YTD_SALES       	DSP_BALANCE     	Balance		[CRM_CUSTDET.AGING_FUTURE]+[CRM_CUSTDET.AGING_CUR]+[CRM_CUSTDET.AGING_30]+[CRM_CUSTDET.AGING_60]+[CRM_CUSTDET.AGING_90]+[CRM_CUSTDET.AGING_120]      			56					48	
GLE_JRNLHDR     	001	DEBIT_AMT       	DEBIT_AMT       	Debits			+39	-5	70					11	
GLE_JRNLHDR     	002	CREDIT_AMT      	CREDIT_AMT      	Credits					70					12	
GLE_JRNLHDR     	003	TOTAL_AMOUNT    	BALANCE         	Balance					70					13	
GLE_JRNLHDR     	004	UNITS           	UNITS           	Units				+1	56					14	
GLE_RECJEHDR    	001	GL_POST_AMT     	DISP_DEBITS	Total Debits	Total Debits		525	-5						7	
GLE_RECJEHDR    	002	GL_POST_AMT     	DISP_CREDITS	Total Credits	Total Credits									8	
GLE_RECJEHDR    	003	GL_POST_AMT     	DISP_BALANCE	Balance	Balance									9	
GLM_FINHEADING  	001	RPT_HEADING     	DSP_HEAD_1	Line 1	Line 1				400		Report Heading Lines			5	
GLM_FINHEADING  	002	RPT_HEADING     	DSP_HEAD_2	Line 2	Line 2				400					6	
GLM_FINHEADING  	003	RPT_HEADING     	DSP_HEAD_3	Line 3	Line 3				400					7	
GLM_FINHEADING  	004	RPT_HEADING     	DSP_HEAD_4	Line 4	Line 4				400					8	
GLM_FINHEADING  	005	RPT_HEADING     	DSP_HEAD_5	Line 5	Line 5				400					9	
GLR_TRANSHISTORY	001	PICK_TEXT_30    	DISP_BEG_PER	Range			210	-1	0					3	
GLR_TRANSHISTORY	002	PICK_TEXT_30    	DISP_END_PER	Range			210	-1	0					6	
PRE_DAYTIME     	001	PICK_NO         	DISP_HOURS	Hours	Hours			+1						2	
