DD_TABLE_ALIAS  DD_ATTR_DTLD    
ADM_PROCMASTER  	ADM_PROCBATCHES 	
ADM_PROCMASTER  	ADM_PROCDETAIL  	
ADM_PROCMASTER  	ADM_PROCTABLES  	
ADM_ROLE        	ADM_ROLEALIAS   	
ADM_USER        	ADM_USERROLES   	
APE_MANCHECKDET 	APE_MANCHECKDIST	
APE_MANCHECKHDR 	APE_MANCHECKDET 	
APE_MANCHECKHDR 	APE_MANCHECKDIST	
APM_VENDMAST    	APM_EMAILFAX    	
APM_VENDMAST    	APM_RPTCTRL     	
APM_VENDMAST    	APM_VENDADDR    	
APM_VENDMAST    	APM_VENDCMTS    	
APM_VENDMAST    	APM_VENDHIST    	
APM_VENDMAST    	APM_VENDPAY2    	
APM_VENDMAST    	APM_VENDREPL    	
APS_PARAMS      	APS_PARAMS      	
ARE_CASHHDR     	ARE_CASHGL      	
ARE_INVHDR      	ARE_INVDET      	
ARM_CUSTMAST    	ARM_CUSTCMTS    	
ARM_CUSTMAST    	ARM_CUSTDET     	
ARM_CUSTMAST    	ARM_CUSTPMTS    	
ARM_CUSTMAST    	ARM_CUSTSHIP    	
ARM_CUSTMAST    	ARM_EMAILFAX    	
ARM_CUSTMAST    	ARM_RPTCTRL     	
CRM_CUSTMAST    	CRM_ACTIVITIES  	
CRM_CUSTMAST    	CRM_CONTACTS    	
CRM_CUSTMAST    	CRM_CONTACT_ADDR	
CRM_CUSTMAST    	CRM_CONTACT_FAM 	
CRM_CUSTMAST    	CRM_CUSTDET     	
CRM_CUSTMAST    	CRM_CUSTPMTS    	
CRM_CUSTMAST    	CRM_DOCUMENTS   	
CRM_CUSTMAST    	CRM_NOTES       	
DDM_ELEMENTS    	DDM_ELEMENT_CMTS	
DDM_ELEMENTS    	DDM_ELEMENT_LDAT	
DDM_ELEMENTS    	DDM_ELEMENT_OPTS	
DDM_KEYS        	DDM_KEY_SEGS    	
DDM_TABLES      	DDM_COLUMN_CMTS 	
DDM_TABLES      	DDM_COLUMN_CPRO 	
DDM_TABLES      	DDM_COLUMN_LDAT 	
DDM_TABLES      	DDM_COLUMN_OPTS 	
DDM_TABLES      	DDM_KEYS        	
DDM_TABLES      	DDM_KEY_SEGS    	
DDM_TABLES      	DDM_TABLE_ACOL  	
DDM_TABLES      	DDM_TABLE_AOPT  	
DDM_TABLES      	DDM_TABLE_CMTS  	
DDM_TABLES      	DDM_TABLE_COLS  	
DDM_TABLES      	DDM_TABLE_CPRO  	
DDM_TABLES      	DDM_TABLE_DISP  	
DDM_TABLES      	DDM_TABLE_DNOT  	
DDM_TABLES      	DDM_TABLE_DTLD  	
DDM_TABLES      	DDM_TABLE_DTLG  	
DDM_TABLES      	DDM_TABLE_DTLW  	
DDM_TABLES      	DDM_TABLE_DTLX  	
DDM_TABLES      	DDM_TABLE_IDEF  	
DDM_TABLES      	DDM_TABLE_LABL  	
DDM_TABLES      	DDM_TABLE_OPTS  	
DDM_TABLES      	DDM_TABLE_TABG  	
DDM_TABLES      	DDM_TABLE_TPLS  	
SFE_WOMATISH    	SFE_WOMATISD    	
