DD_TABLE_ALIAS  DD_ATTR_DTLW    
ADM_PROCMASTER  	ADM_PROCBATCHES 	
ADM_PROCMASTER  	ADM_PROCTABLES  	
ADM_USER        	ADM_USERROLES   	
ADS_CALENDAR    	GLS_EARNINGS    	
ADS_CALENDAR    	GLS_SUSPENSE    	
APM_VENDMAST    	APM_EMAILFAX    	
APM_VENDMAST    	APM_RPTCTRL     	
APM_VENDMAST    	APM_VENDADDR    	
APM_VENDMAST    	APM_VENDCMTS    	
APM_VENDMAST    	APM_VENDHIST    	
APM_VENDMAST    	APM_VENDPAY2    	
APM_VENDMAST    	APM_VENDREPL    	
ARM_CUSTMAST    	ARM_CUSTCMTS    	
ARM_CUSTMAST    	ARM_CUSTSHIP    	
ARM_CUSTMAST    	ARM_EMAILFAX    	
ARM_CUSTMAST    	ARM_RPTCTRL     	
CRM_CONTACTS    	CRM_CONTACT_ADDR	
CRM_CONTACTS    	CRM_CONTACT_FAM 	
CRM_CUSTMAST    	CRM_ACTIVITIES  	
CRM_CUSTMAST    	CRM_DOCUMENTS   	
CRM_CUSTMAST    	CRM_NOTES       	
DDM_ELEMENTS    	DDM_ELEMENT_CMTS	
DDM_ELEMENTS    	DDM_ELEMENT_LDAT	
DDM_TABLES      	DDM_KEYS        	
DDM_TABLES      	DDM_TABLE_CMTS  	
DDM_TABLES      	DDM_TABLE_DISP  	
DDM_TABLES      	DDM_TABLE_FRMS  	
DDM_TABLES      	DDM_TABLE_TPLS  	
GLM_ACCT        	GLM_ACCTCOMMENTS	
GLM_BANKMASTER  	GLT_BANKCHECKS  	
GLM_BANKMASTER  	GLT_BANKOTHER   	
GLS_CALENDAR    	GLS_EARNINGS    	
GLS_CALENDAR    	GLS_SUSPENSE    	
GLS_COLUMNS     	GLS_EARNINGS    	
GLS_COLUMNS     	GLS_SUSPENSE    	
GLS_PARAMS      	GLS_EARNINGS    	
GLS_PARAMS      	GLS_SUSPENSE    	
IVM_ITEMMAST    	IVM_ITEMCMTS    	
IVM_ITEMMAST    	IVM_ITEMSYN     	
IVM_ITEMMAST    	IVM_ITEMVEND    	
IVM_ITEMMAST    	IVM_ITEMWHSE    	
IVM_ITEMMAST    	IVM_LSMASTER    	
IVM_ITEMWHSE    	IVM_LSMASTER    	
OPE_ORDHDR      	OPE_ORDDET      	
PRE_PAYROLL     	PRE_PAYACCRL    	
PRE_PAYROLL     	PRE_PAYCONT     	
PRE_PAYROLL     	PRE_PAYDDCT     	
PRE_PAYROLL     	PRE_PAYEARNG    	
PRE_PAYROLL     	PRE_PAYTAX      	
