Description,Type,Version 8 Alias,Version 8 Program,v7 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Bill Of Materials,M,,,,,,,,,,
Inventory Production Entry,T,,,bme_aa.bbx,entry,,,,,,
Inventory Production Register,T,,,bmr_ha.bbx,register,,WIP SV-BP,,needs,,
Inventory Production Update,T,,,bmu_aa.bbx,update,,WIP SV-BP,,,,
Order/Production Entry,T,,,bme_ba.bbx,entry,,,,,,
Order/Production Register,T,,,bmr_ja.bbx,register,,WIP SV-BP,,needs,,
Order/Production Update,T,,,bmu_ja.bbx,update,,WIP SV-BP,,,,
Reports,G,,,,,,,,,,
Bill Of Materials Packing Listing,T,,,bmr_ea.bbx,report,,WIP SV-BP,,needs,,
Materials Where Used Listing,T,,,bmr_ba.bbx,report selection,,WIP SV-BP,,,,
Materials Where Used Listing - overlay,T,,,bmr_bb.bbx,overlay,,WIP SV-BP,,needs,,
Operations Where Used Listing,T,,,bmr_da.bbx,report selection,,WIP SV-BP,,,,
Operations Where Used Listing - overlay,T,,,bmr_db.bbx,overlay,,WIP SV-BP,,needs,,
Indented Bill Of Materials Report,T,,,bmr_za.bbx,report selection,,WIP SV-BP,,,,
Indented Bill Of Materials Report - overlay,T,,,bmr_zb.bbx,overlay,,WIP SV-BP,,needs,,
Bill Of Materials Detail Listing,T,,,bmr_aa.bbx,report selection,,WIP SV-BP,,
Bill Of Materials Detail Listing - overlay,T,,,bmr_ab.bbx,overlay,,WIP SV-BP,,needs
Bill Of Materials Inventory Costing,T,,,bmr_fa.bbx,report selection,,WIP SV-BP,,
Bill Of Materials Inventory Costing - overlay,T,,,bmr_fb.bbx,overlay,,WIP SV-BP,,needs
Maintenance,G,,,,,,,,
Bill Of Materials Master,T,,,bmm_ma.bbx,master maint,,,,
 BOM - Header ,T,,,bmm_mb.bbx,sub maint,,,,
 BOM - Operation Information ,T,,,bmm_md.bbx,sub maint,,,,
 BOM - Material Information,T,,,bmm_mc.bbx,sub maint,,,,
 BOM - Total Information,T,,,bmm_ti.bbx,sub maint,,,,
 BOM - Hard Copy Printing,T,,,bmm_hc.bbx,sub maint,,,,
 BOM - Packing List,T,,,bmm_pl.bbx,sub maint,,,,
 BOM - Delete Bill,T,,,bmm_me.bbx,sub maint,,,,
 BOM - Copy Bill,T,,,bmm_mi.bbx,sub maint,,,,
 BOM - Availability Inquiry,T,,,bmr_ia.bbx,selection,,WIP SV-BP,,
 BOM - Availability Inquiry - overlay,T,,,bmr_ib.bbx,overlay,,WIP SV-BP,,needs
 BOM - Availability Inquiry - hardcopy,T,,,bmr_ic.bbx,report,,WIP SV-BP,,TBD
 BOM - Comment Maintenance,T,,,bmm_ma.bbx,sub maint,,,,
 BOM - Subcontract Information,T,,,bmm_mj.bbx,sub maint,,,,
Operation Codes,T,,,bmm_aa/ab.bbx,maintenance,,,,
Purge Obsolete Detail Lines,T,,,bmu_ba/bb.bbx,maintenance,,,,
Component Item Replacement,T,,,bmu_da/db.bbx,maintenance,,,,
Application Parameters,T,,,bmp_aa.bbx,param maint,,,,
Utilities,G,,,,,,,,
Resequence Detail Lines,T,,,bmu_ca/cb.bbx,update,,WIP SV-BP,,
Bill Detail Exception Report,T,,,bmr_la.bbx,report selection,,WIP SV-BP,, 
Bill Detail Exception Report - overlay,T,,,bmr_lb.bbx,overlay,,WIP SV-BP,,needs
Publics,G,,,,,,,,
Bill Hard Copy,P,,,bmc_aa.bbx,public,,WIP SV-BP,,
Enter Effective and Obsolete Dates,P,,,bmc_ba.bbx,public,,WIP SV-BP,,
 Packing List,P,,,bmc_ca.bbx,public,,WIP SV-BP,,
Get Bill Cost,P,,,bmc_ea.bbx,public,,WIP SV-BP,,
Phantom Blow-through for Inventory Production Register,P,,,bmc_fa.bbx,public,,WIP SV-BP
Explode Phantoms for Inventory Production Update,P,,,bmc_ga.bbx,public,,WIP SV-BP
