Description,Type,Version 8 Alias,Version 8 Program,v7 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Material Requirements Planning,M,,,,,,,,,,
Production Schedule Entry,T,,,mpe_aa.bbx,entry,,,,,,
Resource Forecast Entry,T,,,mpe_ba.bbx,entry,,,,,,
MRP Generation,T,,,mpu_aa.bbx,update initialization,,WIP NV-BP,,,,
" MRP Generation - Purge WO & Req Data, create MRP work files",T,,,mpu_ab.bbx,update,,WIP NV-BP,,,,
 MRP Generation-Generate Purch/Prod/Resource & Peggingdata,T,,,mpu_ac.bbx,update,,WIP NV-BP,,,,
MRP Inquiry,T,,,mpm_ba.bbx,inquiry,,,,,,
 MPM - Planned Purchase Inquiry,T,,,mpm_bb.bbx,inquiry,,,,,,
 MPM - Planned Production Inquiry,T,,,mpm_bc.bbx,inquiry,,,,,,
Reports,G,,,,,,,,,,
Forecast Worksheet,T,MPR_FORCASTWRKSHT,mpr_forcastwrksht.aon,mpr_ca.bbx,report selection,,Done NV-BP,PPT-BP (02/26/2008),,,
Forecast Worksheet - Overlay,T,,mpr_forcastwrksht_o1.aon,mpr_cb.bbx,overlay,,Done NV-BP,PPT-BP (02/26/2008),needs,,
Production Schedule Listing,T,MPR_PRODSCHDLIST,mpr_prodschdlist.aon,mpr_ga.bbx,report selection,,Done NV-BP,PPT-BP (02/27/2008),,,
Production Schedule Listing - Overlay,T,,mpr_prodschdlist_o1.aon,mpr_gb.bbx,overlay,,Done NV-BP,PPT-BP (02/27/2008),needs,,
Resource Forecast Listing,T,,,mpr_ha.bbx,report selection,,Done PS-BP,WIP PS-BP,,,
Resource Forecast Listing - Overlay,T,,,mpr_hb.bbx,overlay,,Done PS-BP,WIP PS-BP,needs
Planned Purchase Report,T,MPR_PLANPURCH,mpr_planpurch.aon,mpr_aa.bbx,report selection,,Done PS-BP,PPT-BP (02/22/2008),
Planned Purchase Report - Overlay,T,,mpr_planpurch_o1.aon,mpr_ab.bbx,overlay,,Done PS-BP,PPT-BP (02/22/2008),needs
Planned Production Report,T,,,mpr_ba.bbx,report selection,,Done PS-BP,WIP PPT-BP,
Planned Production Report - Overlay,T,,,mpr_bb.bbx,overlay,,Done PS-BP,WIP PPT-BP,needs
Planned Resources Report,T,,,mpr_da.bbx,report selection,,Done PPT-BP,WIP PPT-BP,
Planned Resources Report - Overlay,T,,,mpr_db.bbx,overlay,,Done PPT-BP,WIP PPT-BP,needs
Pegging Report,T,,,mpr_fa.bbx,report selection,,Done PPT-BP,WIP PPT-BP,
Pegging Report - Overlay,T,,,mpr_fb.bbx,overlay,,Done PPT-BP,WIP PPT-BP,needs
Purchase Requisition Register,T,,,mpr_ia.bbx,report selection,,Done PPT-BP,WIP PS-BP,
Purchase Requisition Register - Overlay,T,,,mpr_ib.bbx,overlay,,Done PPT-BP,WIP PS-BP,needs
Purchase Requisition Update,T,,,mpu_ca.bbx,update,,Done SV-BP,,
Planned Work Order Register,T,,,mpr_ja.bbx,report selection,,Done PS-BP,WIP PPT-BP,
Planned Work Order Register - Overlay,T,,,mpr_jb.bbx,overlay,,Done PS-BP,WIP PPT-BP,needs
Planned Work Order Update,T,,,mpu_da.bbx,update,,Done SV-BP,,
Forecast Calendar Listing,T,,,mpr_ea.bbx,report selection,,Done PS-BP,,
Maintenance,G,,,,,,
Forecast Types,T,,,mpm_aa.bbx,entry,,Done PS-BP
Create Forecast Calendar,T,,,mpm_ca.bbx,entry,,Done PS-BP
Forecast Calendar Maintenance,T,,,mpm_da.bbx,entry,,Done PS-BP
Purge Forecast Calendar,T,MP_PURGEFORECAST,,mpu_ba.bbx,entry,,Done PS-BP
Publics,G,,,,,,
Open MRP Files Using Alias,P,,,mpc_fa.bbx,,,Done PS-BP
Transaction Selection for the Pegging Report,P,,,mpc_ta.bbx,,,Done PS-BP
