Description,Type,Version 8 Alias,Version 8 Program,Version 6 Name,Program Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Payroll,M,,,,,,,,,,
Daily Processing,G,,,,,,,,,,
Payroll Period Definition,T,,pre_aa.bbx,PRE_AA,Entry,,,,,,
 - update standard hours - Input,T,,pru_ba.bbx,PRU.BA,Input for process,,,,,,
 - update standard hours - process,T,,pru_bb.bbx,PRU.BB,process,,WIP NV-OSI,needs,,,
Payroll Entry -start,T,,pre_ba.bbx,PRE_BA,Entry,,,,,,** Payroll Detail History requires modifications
 - employee info,T,,pre_bb.bbx,PRE_BB,Entry,,,,,,** Payroll Detail History requires modifications
 - earnings entry,T,,pre_bc.bbx,PRE_BC,Entry,,,,,,
 - deductions entry,T,,"pre_bd,bbx",PRE_BD,Entry,,,,,,
 - tax entry,T,,pre_be.bbx,PRE_BE,Entry,,,,,,
 - accrual entry,T,,pre_bf.bbx,PRE_BF,Entry,,,,,,
 - sub menu for payroll entry,T,,pre_bg.bbx,PRE_BG,Entry,,,,,,
Earnings Entry Report,T,,prr_ca.bbx,PRR_CA ,Report,,WIP NV-OSI,WIP NV-OSI,needs,needs,"0A in v6, CA in v7"
Earnings Register,T,,prr_aa.bbx,PRR_AA,Register,,WIP NV-OSI,needs,needs,needs,
Distribution Report - Input,T,,prr_ea.bbx,PRR_3A,Input for report,,needs,,,,
 - Report,T,,prr_eb.bbx,PRR.3B,Report,,WIP NV-OSI,needs,needs,needs,"EA=EB is v7, 3A-3B is v6"
Payroll Calculation,T,,prr_ua.bbx,PRU_AA,Update,,WIP NV-OSI,needs,,,
Adjustment Report,T,,prr_ba.bbx,PRR_BA,Report,,needs,needs,needs,needs,
Exception Report,T,,prr_ya.bbx,PRR_YA,Report,,needs,needs,needs,needs,
Detail Report,T,,prr_xa.bbx,PRR_XA,Report,,needs,needs,needs,needs,
GL Distribution Report,T,,prr_ta.bbx,PRR_TA,Report,,needs,needs,n,needs,
Pre-Check Report,T,,prr_fa.bbx,PRR_FA,Report,,needs,needs,needs,needs,
Check Printing - input,T,,prr_ga.bbx,PRR_GA,Input for report,,needs,,no doc out,,
 - print,T,,prr_gb.bbx,PRR.GB,Report,,needs,needs,no doc out,,Standard checks 
 - optional print,T,,prr_gc.bbx,PRR.GC,Optional Report,,needs,needs,no doc out,,Checks with blank stubs
Check Register,T,,prr_ha.bbx,PRR_HA,Input for report,,needs,,,,
 - report,T,,prr_hb.bbx,PRR_HB,Report,,needs,needs,needs,needs,
 - Update I,T,,pru_ca.bbx,PRU_CA,Update,,needs,,,,** Payroll Detail History requires modifications
 - Update II,T,,pru_cb.bbx,PRU_CB,Update,,WIP SV-OSI,,,,** Payroll Detail History requires modifications
 - Update III,T,,pru_cc.bbx,PRU_CC,Update,,WIP SV-OSI,,,,
Daily Entry,G,,,,,,,,,,
Daily Entry I,T,,pre_ca.bbx,PRE_CA,Entry,,,,,,
 - II,T,,pre_cb.bbx,PRE_CB,Entry,,,,,,
 - III,T,,pre_cc.bbx,PRE_CC,Entry,,,,,,
Daily Entry Register,T,,prr_ua.bbx,PRR_UA,Report,,needs,needs,needs,needs,
 - Update,T,,pru_fa.bbx,PRU_FA,Update,,WIP SV-OSI,,,,
Periodic Processing,G,,,,,,,,,,
Payroll Distribution History Report Input,T,,prr_ia.bbx,PRR_IA,Input for Report,,needs,,,,
 - Report,T,,prr_ib.bbx,PRR_IB,Report,,needs,needs,needs,needs,
Monthly Check Report,T,,prr_ja.bbx,PRR_JA,Input/Report,,needs,needs,needs,needs,** Payroll Detail History requires modifications
Month End Update,T,,pru_da.bbx,PRU_DA,Update,,needs, , , ,** Payroll Detail History requires modifications
Earnings Status Report,T,,prr_ra.bbx,PRR_RA,Input/Report,,needs,needs,needs,needs,
Deduction Status Report,T,,prr_ma.bbx,PRR_MA,Input/Report,,needs,needs,needs,needs,
Tax Status Report,T,,prr_ka.bbx,PRR_KA,Input/Report,,needs,needs,needs,needs,
Contribution Status Report,T,,prr_la.bbx,PRR_LA,Input/Report,,needs,needs,needs,needs,
Accrual Status Report,T,,prr_na.bbx,PRR_NA,Input/Report,,needs,needs,needs,needs,
Payroll Check History Report,T,,prr_da.bbx,PRR_DA ,Input for Report,,needs,needs,needs,needs,".DA-DB is v7, 2A-2B is v6"
 - Report,T,,prr_db.bbx,PRR_DB,Report,,needs,needs,needs,needs
Earnings History Report,T,,prr_wa.bbx,PRR_WA,Input for Report,,needs, , , 
 - Report,T,,prr_wb.bbx,PRR_WB,Report,,needs,needs,needs,needs
Union History Report,T,,prr_va.bbx,PRR_VA,Input for Report,,needs, , , 
 - Report,T,,prr_vb.bbx,PRR.VB,Report,,needs,needs,needs,needs
Union History Purge,T,,pru_ga.bbx,PRU_GA,Update,,needs, , , 
Payroll Date Listing,T,,prr_sa.bbx,PRR_SA,Input for Report,,needs, , , 
 - Report,T,,prr_sb.bbx,PRR_SB,Report,,needs,needs,needs,needs
W-2 Processing,G,,,,,,,,,
W-2 Configuration,T,,prw_aa.bbx,PRW_AA,Entry,,,,,
W-2 Configuration Listing,T,,prw_ka.bbx,PRW_KA,Report,,needs,needs,needs,needs
Copy/Remove W-2 Configuration,T,,prw_ba.bbx,PRW_BA,Utility,,needs, ,,
