Description,Type,Version 8 Alias,Version 8 Program,v7 Name,Pgm Type,Form Status,"CodePort (needs, inits)",Print Preview Tested,"DocOut (needs,inits)",DocOut Tested,Comments
Shop Floor Control,M,,,,,,,,,,
Work Order Entry,T,,,sfe_aa.aon,entry,,,,,,
 WO - Header Entry & WO Delete,T,,,sfe_ab.src,entry,,,,,,
 WO - Customer Order Information ,T,,,sfe_ac.src,entry,,,,,,
 WO - Operation Requirements Processing,T,,,sfe_ad.src,entry,,,,,,
" WO - Material Requirements Processing, BM Explosion ",T,,,sfe_ae.src,entry,,,,,,
 WO - Work Order Subcontract Requirements - Vendor/PO/Req ,T,,,sfe_af.src,entry,,,,,,
 WO - Status Summary,T,,,sfe_ag.src,entry/inquiry,,,,,,
 WO - Hard Copy (runs sfr_xa),T,,,sfe_ah.src,entry/report,,,,,,
 WO - Serial/Lot #'s,T,,,sfe_aj.src,entry/inquiry,,,,,,
 WO - Forward/Backward/Manual Scheduling,T,,,sfe_ak.src,entry,,,,,,
 WO - Cost Summary,T,,,sfe_al.src,entry/inquiry,,,,,,
 WO - Release & Materials Commitment,T,,,sfe_am.src,entry,,,,,,
 WO - Transaction Display ,T,,,sfe_at.src,entry/inquiry,,,,,,
Traveler Printing,T,,,sfr_aa.aon,selection,,Done PPT-BP,,,,
Traveler printing - overlay,T,,,sfr_ab.bbx,read loop,,Done PPT-BP,,
Work Order Detail Printing,T,,,sfr_xa.bbx,overlay,,Done PS-BP,,needs
Materials Commitment Entry,T,,,sfe_ca/cb.aon,entry,,,,
Pick List Printing,T,,,sfr_ba.aon,selection,,Done PPT-BP,,
Pick List Printing - overlay,T,,,sfr_bb.bbx,report,,Done PPT-BP,,needs
Dispatch Inquiry,T,,,sfe_ha.aon,inquiry ,,,,
Load Balance Inquiry,T,,,sfm_ha.aon,inquiry ,,,,
Transaction Processing,G,,,,,,,,
Create Purchase Requisitions,T,,,sfu_ia.aon,entry,,Done PS-BP,,
Create Purchase Requisitions - update,T,,,sfu_ib.bbx,update,,Done PS-BP,,
Material Issues Entry,T,,,sfe_da/db/dc.aon,,,,,
Material Issues Register,T,,,sfr_da.aon,register,,Done PPT-BP,,needs
Material Issues - Update,T,,,sfu_aa.bbx,update,,Done PS-BP,,
Time Sheet Entry,T,,,sfe_ba/bb.aon,,,,,
Time Sheet Register,T,,,sfr_ca.aon,register,,Done PPT-BP,,needs
Time Sheet Register - Summary,T,,,sfr_cb.bbx,summary register,,Done PPT-BP,,needs
Time Sheet - Update,T,,,sfu_ba.bbx,update,,Done PS-BP,,
Cost Adjustment Entry,T,,,sfe_fa.aon,,,,,
Cost Adjustment Register,T,,,sfr_la.aon,register,,Done PPT-BP,,needs
Cost Adjustment Update,T,,,sfu_ga.bbx,update,,Done PS-BP,,
Work Order Close Data Entry,T,,,sfe_ea/eb.aon,,,,,
Closed Work Order Detail Report,T,,,sfr_ea.aon,report selection,,Done PPT-BP,,
Closed Work Order Detail Report - overlay,T,,,sfr_eb.bbx,overlay,,Done PPT-BP,,needs
Work Order Detail Printing,T,,,sfr_xa.bbx,overlay,,Done PS-BP,,needs
Closed Work Order Summary Register,T,,,sfr_ka.aon,register,,Done PPT-BP,,needs
Closed Work Order Update,T,,,sfu_ca.bbx,update,,Done PS-BP,,
Reports,G,,,,,,,,
Work Order Header Report,T,,,sfr_ga.aon,report selection,,Done NV-BP,,
Work Order Header Report - overlay,T,,,sfr_gb.bbx,overlay,,Done NV-BP,,needs
Shop Floor Dispatch Report,T,,,sfr_pa.aon,report selection,,Done PPT-BP,,
Shop Floor Dispatch Report - overlay,T,,,sfr_pb.bbx,overlay,,WIP PPT-BP,,needs
Production Exception Report,T,,,sfr_sa.aon,report selection,,Done PS-BP,,
Production Exception Report -  overlay,T,,,sfr_sb.bbx,overlay,,Done PS-BP,,needs
Bottleneck Analysis Report,T,,,sfr_ta.aon,report selection,,Done PS-BP,,
Bottleneck Analysis Report - overlay,T,,,sfr_tb.bbx,overlay,,Done PS-BP,,needs
Labor Efficiency Analysis Report,T,,,sfr_fa.aon,report selection,,Done PPT-BP,,
Labor Efficiency Analysis Report - overlay,T,,,sfr_fb.bbx,overlay,,Done PPT-BP,,needs
Cost Variance Analysis Report,T,,,sfr_ha.aon,report selection,,Done PPT-BP,,
Cost Variance Analysis Report - overlay,T,,,sfr_hb.bbx,overlay,,Done PPT-BP,,needs
Date Analysis Report,T,,,sfr_na.aon,report selection,,WIP PPT-BP,,
Date Analysis Report - overlay,T,,,sfr_nb.bbx,overlay,,Done PPT-BP,,needs
Work Order Detail Report,T,,,sfr_ia.aon,report selection,,Done PPT-BP,,
Work Order Detail Report - overlay,T,,,sfr_ib.bbx,overlay,,Done PPT-BP,,needs
Work Order Detail Printing,T,,,sfr_xa.bbx,overlay,,Done PS-BP,,needs
WO Transaction History Report,T,,,sfr_ja.aon,report selection,,Done PPT-BP,,
WO Transaction History Report - overlay,T,,,sfr_jb.bbx,overlay,,WIP PPT-BP,,needs
WO Committed Materials Report,T,,,sfr_ma.aon,report selection,,Done PPT-BP,,
WO Committed Materials Report - overlay,T,,,sfr_mb.bbx,overlay,,Done PPT-BP,,needs
Work Order Job Status Summary,T,,,sfr_va.aon,report selection,,Done PS-BP,,
Work Order Job Status Summary - overlay,T,,,sfr_vb.bbx,overlay,,Done PS-BP,,needs
Period End Processing,G,,,,,,,,
Close Recurring Work Orders,T,,,sfu_da.aon,selection,,Done PS-BP,,
Close Recurring Work Orders - overlay,T,,,sfu_db.bbx,update overlay,,Done PS-BP,,
Closed Recurring WO Detail Report,T,,,sfr_ea.aon,report selection,,Done PPT-BP,,
