Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,CodePort,DocOut,Comments
Accounts Payable,APMENU,M,,,,,,,,
Invoice Entry,APE_INVOICEHDR,T,APE_INVOICEHDR,,APE.AA,,,,,
Invoice Register,APR_INVREG,A,APR_INVREG,apr_invoiceentry.aon,APR.AA,JL?,P,,,
Payment Selection,APE_EA,T,,ape_ea.aon,APE.EA,,,,,
Payment Selection Report,APR_PAYMENT,A,APR_PAYMENT,apr_payments.aon,APR.DA,JL?,P,Y,Y,
Check Printing,APR_CHECKS,T,APR_CHECKS,,APR.EA,,,Y,,
Check Register,APR_CHKREGISTER,A,,apr_chkregister.aon,APR.FA,JL?,P,,,
Manual Check Entry,APE_MANCHECKHDR,T,APE_MANCHECKHDR,,APE.CA,CH,Y,,,
Manual Check Register,APR_MANUALCHECKS,A,,apr_manualchecks.aon,APR.GA,JL?,P,,,
Aging Report,APR_AGINGREPORT,T,APR_AGINGREPORT,,APR.CA,JL?,P,Y,Y,
Cash Requirements Report,APR_CASHREQUIRE,T,APR_CASHREQUIRE,,APR.BA,JL?,P,Y,Y,
Reports,APMENU_REPORTS,G,,,,,,,,
Vendor Cross Reference Listing,APR_VENDXREF,A,APR_VENDXREF,apr_vendorxref.aon,APR.IA,JL?,P,,,
Vendor Label Printing,APR_LABELS,T,APR_LABELS,,APR.KA,,,,,
Vendor Detail Listing,APR_DETAIL,T,APR_DETAIL,,APR.XA,,,,,
Vendor Comments Listing,APR_COMMENTS,T,APR_COMMENTS,,APR.QA,,,,
Vendor Name & Address Listing,APR_NAMEADDRESS,T,APR_NAMEADDRESS,,APR.PA,,,,
Vendor Ledger Cards,APR_LEDGERS,T,APR_LEDGERS,,APR.LA,,,,
Temporary Vendor Listing,APR_TEMPVEND,A,APR_TEMPVEND,apr_tempvendors.aon,APR.SA,JL?,P,,
Period End Processing,APMENU_PEND,G,,,,,,,
Purchase Journal,APR_PURCHASES,T,APR_PURCHASES,,APR.OA,JL?,P,Y,Y
Disbursements Journal,APR_DISBURSEMNTS,T,APR_DISBURSEMNTS,,APR.MA,JL?,P,Y,Y
Monthly Check Report,APR_CHECKREPORT,T,APR_CHECKREPORT,,APR.HA,JL?,P,Y,Y
Check & Zero Balance Invoice Purge,APR_ZEROBALANCE,T,APR_ZEROBALANCE,,APR.RA,JL?,P,Y,Y
Period End Update,APU_PERIODEND,T,APU_PERIODEND,,APU.DA,,,Y,
Export 1099 Data to Text,APX_EXPORT1099,T,APX_EXPORT1099,,v7,JL?,P,Y,
Close Form 1099 Year,APU_CLOSE1099,A,APU_CLOSE1099,apu_close1099.aon,v7,,,,
Maintenance,APMENU_MAINT,G,,,,,,,
Vendors,APM_VENDMAST,T,APM_VENDMAST,,APM.MA,CH,Y,,
Accounts Payable Types,APC_TYPECODE,T,APC_TYPECODE,,APM.AA,SV,Y,,
Distribution Codes,APC_DISTRIBUTION,T,APC_DISTRIBUTION,,APM.BA,SV,Y,,
Payment Groups,APC_PAYMENTGROUP,T,APC_PAYMENTGROUP,,APM.DA,SV,Y,,
Terms Codes,APC_TERMSCODE,T,APC_TERMSCODE,,APM.CA,SV,Y,,
Recurring Invoice Entry,APE_DA,T,,ape_da.aon,APE.DA,,,,
Recurring Invoice Register,APR_RECURRING,T,APR_RECURRING,,APR.NA,JL?,P,Y,Y
Parameters,APMENU_PARAMS,G,APS_PARAMS,,,,,,
Application Parameters,APS_PARAMS,T,APS_PARAMS,,APP.PA,JL,P,,
Report Parameters,APS_REPORT,T,APS_REPORT,,APP.PA,JL,P,,
Accounts Receivable,ARMENU,M,,,,,,,
Invoice Entry,ARE_INVHDR,T,ARE_INVHDR,,ARE.FA,CH,Y,,
Invoice Printing,ARR_INVOICES,T,ARR_INVOICES,,ARR.UA,JL,P,,
Invoice Register,ARR_INVOICEENTRY,A,,arr_invoiceentry.aon,ARR.VA,JL,P,,
Cash Receipts Entry,ARE_CASHHDR,T,ARE_CASHHDR,,ARE.AA,CH,Y,,
Cash Receipts Register,ARR_CASHRECEIPTS,T,ARR_CASHRECEIPTS,,ARR.AA,JL,P,,
Aging Report,ARR_AGINGREPORT,T,ARR_AGINGREPORT,,ARR.4A,SV,P,,
Aging Analysis Report,ARR_ANALYSIS,T,ARR_ANALYSIS,,ARR.5A,SV,Y,,
Age Transactions,ARU_AGINGUPDATE,T,ARU_AGINGUPDATE,,ARU.EA,JL?,P,Y,
Credit Managers Review & Release,,,,,,,
Reports,ARMENU_REPORTS,G,,,,,
Customer Cross Reference Listing,ARR_CUSTOMERXREF,A,,arr_customerxref.aon,ARR.IA,JL,Y
Customer Label Printing,ARR_LABELS,T,ARR_LABELS,,ARR.EA,JL,Y
Customer Name Listing,ARR_NAMELIST,T,ARR_NAMELIST,,ARR.RA,JL,Y
Customer Detail Listing,ARR_DETAIL,T,ARR_DETAIL,,ARM.WA,JL,Y
Customer Comments Listing,ARR_COMMENTS,T,ARR_COMMENTS,,ARR.RC,JL,Y
Customer Name & Address Listing,ARR_NAMEADDRESS,T,ARR_NAMEADDRESS,,ARR.DA,SV,Y
Customer Ledger Cards,ARR_LEDGERS,T,ARR_LEDGERS,,ARR.9A,SV,Y
Period End Processing,ARMENU_PEND,G,,,,,
Aging Report,ARR_AGINGREPORTPE,A,ARR_AGINGREPORT,arr_agingreport.aon,ARR.4A,SV,P
Generate Finance Charges,ARU_FINANCECHARG,T,ARU_FINANCECHARG,,ARU.HA,JL,P
